2025-05-31 17:45:07.137 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:07.700 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:07.702 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:07.703 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:07.703 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:08.256 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:08.257 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:08.257 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:08.257 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:08.810 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:08.813 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:08.813 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:08.814 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:09.404 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:09.406 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:09.406 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:09.406 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:09.975 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:09.978 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:09.978 TRACE_ID ERROR main AbstractContainer beanName sparrow_default ,refName dataSourceFactory is null
2025-05-31 17:45:09.978 TRACE_ID ERROR main SparrowContainer init bean error,bean-name sparrow_default
2025-05-31 17:45:10.539 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
2025-05-31 17:45:10.541 TRACE_ID ERROR main AbstractContainer instance error java.lang.reflect.InvocationTargetException, class name com.sparrow.datasource.DataSourceFactoryImpl
